index,qid,docid,docno,query,label
5,q1,0,0,ice cream maker quiet cleanup easy,5
32,q1,1,1,ice cream maker quiet cleanup easy,5
37,q1,2,2,ice cream maker quiet cleanup easy,5
1,q1,3,3,ice cream maker quiet cleanup easy,5
4,q1,5,5,ice cream maker quiet cleanup easy,5
0,q1,6,6,ice cream maker quiet cleanup easy,5
31,q1,7,7,ice cream maker quiet cleanup easy,5
28,q1,11,11,ice cream maker quiet cleanup easy,5
15,q1,14,14,ice cream maker quiet cleanup easy,5
13,q1,16,16,ice cream maker quiet cleanup easy,5
36,q1,24,24,ice cream maker quiet cleanup easy,5
48,q1,29,30,ice cream maker quiet cleanup easy,5
12,q1,656,668,ice cream maker quiet cleanup easy,1
37,q1,744,756,ice cream maker quiet cleanup easy,4
3,q1,1015,1037,ice cream maker quiet cleanup easy,1
42,q1,1610,1649,ice cream maker quiet cleanup easy,3
25,q1,1614,1653,ice cream maker quiet cleanup easy,3
48,q1,1617,1656,ice cream maker quiet cleanup easy,3
14,q1,1622,1661,ice cream maker quiet cleanup easy,3
3,q1,1623,1662,ice cream maker quiet cleanup easy,3
45,q1,1625,1664,ice cream maker quiet cleanup easy,3
46,q1,1752,1792,ice cream maker quiet cleanup easy,5
47,q1,1754,1794,ice cream maker quiet cleanup easy,5
49,q1,1757,1797,ice cream maker quiet cleanup easy,5
11,q1,1759,1799,ice cream maker quiet cleanup easy,4
22,q1,2064,2118,ice cream maker quiet cleanup easy,1
41,q1,2367,2432,ice cream maker quiet cleanup easy,2
29,q1,3935,4138,ice cream maker quiet cleanup easy,1
5,q1,3998,4246,ice cream maker quiet cleanup easy,1
47,q1,4723,5058,ice cream maker quiet cleanup easy,1
23,q1,5018,5368,ice cream maker quiet cleanup easy,5
20,q1,5020,5370,ice cream maker quiet cleanup easy,4
45,q1,5021,5371,ice cream maker quiet cleanup easy,5
38,q1,5028,5378,ice cream maker quiet cleanup easy,5
24,q1,5029,5379,ice cream maker quiet cleanup easy,5
27,q1,5031,5381,ice cream maker quiet cleanup easy,5
47,q1,5032,5382,ice cream maker quiet cleanup easy,3
17,q1,5034,5384,ice cream maker quiet cleanup easy,5
44,q1,5035,5385,ice cream maker quiet cleanup easy,5
41,q1,5037,5387,ice cream maker quiet cleanup easy,5
37,q1,5038,5388,ice cream maker quiet cleanup easy,5
15,q1,5045,5395,ice cream maker quiet cleanup easy,5
26,q1,5837,6202,ice cream maker quiet cleanup easy,1
16,q1,6487,6896,ice cream maker quiet cleanup easy,2
25,q1,6932,7341,ice cream maker quiet cleanup easy,1
2,q1,7179,7599,ice cream maker quiet cleanup easy,1
39,q1,7802,8246,ice cream maker quiet cleanup easy,4
42,q1,7945,8433,ice cream maker quiet cleanup easy,1
40,q1,8275,8776,ice cream maker quiet cleanup easy,1
17,q1,8334,8846,ice cream maker quiet cleanup easy,3
23,q1,8569,9092,ice cream maker quiet cleanup easy,1
30,q1,8597,9120,ice cream maker quiet cleanup easy,2
22,q1,10153,10808,ice cream maker quiet cleanup easy,5
42,q1,10154,10809,ice cream maker quiet cleanup easy,4
12,q1,10155,10810,ice cream maker quiet cleanup easy,5
36,q1,10157,10812,ice cream maker quiet cleanup easy,5
9,q1,10158,10813,ice cream maker quiet cleanup easy,5
16,q1,10159,10814,ice cream maker quiet cleanup easy,5
33,q1,10161,10816,ice cream maker quiet cleanup easy,5
2,q1,10162,10817,ice cream maker quiet cleanup easy,5
24,q1,10577,11265,ice cream maker quiet cleanup easy,1
18,q1,10732,11438,ice cream maker quiet cleanup easy,1
45,q1,11364,12137,ice cream maker quiet cleanup easy,1
19,q1,11567,12340,ice cream maker quiet cleanup easy,1
11,q1,11767,12540,ice cream maker quiet cleanup easy,1
6,q1,11794,12567,ice cream maker quiet cleanup easy,1
10,q1,12088,12914,ice cream maker quiet cleanup easy,1
48,q1,12105,12931,ice cream maker quiet cleanup easy,1
33,q1,12910,13824,ice cream maker quiet cleanup easy,1
0,q1,12919,13833,ice cream maker quiet cleanup easy,1
9,q1,12924,13838,ice cream maker quiet cleanup easy,1
8,q1,12925,13839,ice cream maker quiet cleanup easy,1
34,q1,12926,13840,ice cream maker quiet cleanup easy,1
1,q1,12931,13845,ice cream maker quiet cleanup easy,1
13,q1,13048,13962,ice cream maker quiet cleanup easy,1
36,q1,13568,14545,ice cream maker quiet cleanup easy,1
49,q1,13769,14798,ice cream maker quiet cleanup easy,1
21,q1,14528,15602,ice cream maker quiet cleanup easy,4
7,q1,14531,15605,ice cream maker quiet cleanup easy,5
18,q1,14532,15606,ice cream maker quiet cleanup easy,5
29,q1,14533,15607,ice cream maker quiet cleanup easy,5
34,q1,14535,15609,ice cream maker quiet cleanup easy,5
44,q1,14536,15610,ice cream maker quiet cleanup easy,5
43,q1,14537,15611,ice cream maker quiet cleanup easy,5
30,q1,14539,15613,ice cream maker quiet cleanup easy,5
6,q1,14540,15614,ice cream maker quiet cleanup easy,5
40,q1,14541,15615,ice cream maker quiet cleanup easy,5
19,q1,14542,15616,ice cream maker quiet cleanup easy,5
46,q1,14543,15617,ice cream maker quiet cleanup easy,5
35,q1,14546,15620,ice cream maker quiet cleanup easy,5
10,q1,14549,15623,ice cream maker quiet cleanup easy,4
8,q1,14550,15624,ice cream maker quiet cleanup easy,5
26,q1,14553,15627,ice cream maker quiet cleanup easy,5
14,q1,14906,16111,ice cream maker quiet cleanup easy,2
27,q1,14916,16121,ice cream maker quiet cleanup easy,1
32,q1,15566,16795,ice cream maker quiet cleanup easy,1
46,q1,15569,16798,ice cream maker quiet cleanup easy,1
31,q1,17483,18945,ice cream maker quiet cleanup easy,1
38,q1,17529,18991,ice cream maker quiet cleanup easy,1
42,q1,18087,19660,ice cream maker quiet cleanup easy,1
39,q1,18336,19910,ice cream maker quiet cleanup easy,1
21,q1,19860,21662,ice cream maker quiet cleanup easy,3
35,q1,20257,22152,ice cream maker quiet cleanup easy,1
20,q1,21337,23359,ice cream maker quiet cleanup easy,1
43,q1,21386,23408,ice cream maker quiet cleanup easy,1
46,q1,21561,23599,ice cream maker quiet cleanup easy,1
47,q1,22063,24125,ice cream maker quiet cleanup easy,2
44,q1,23008,25346,ice cream maker quiet cleanup easy,1
1049,q2,673,685,easy coffee maker pot,3
1032,q2,964,986,easy coffee maker pot,4
1041,q2,974,996,easy coffee maker pot,4
1033,q2,975,997,easy coffee maker pot,4
1029,q2,1009,1031,easy coffee maker pot,4
1002,q2,1015,1037,easy coffee maker pot,4
1025,q2,1016,1038,easy coffee maker pot,4
1040,q2,1450,1489,easy coffee maker pot,4
1038,q2,1971,2011,easy coffee maker pot,4
1014,q2,2064,2118,easy coffee maker pot,4
1017,q2,2100,2154,easy coffee maker pot,4
1049,q2,2365,2430,easy coffee maker pot,4
1013,q2,3998,4246,easy coffee maker pot,4
1032,q2,4630,4965,easy coffee maker pot,5
1024,q2,4635,4970,easy coffee maker pot,5
1030,q2,4642,4977,easy coffee maker pot,5
1047,q2,4644,4979,easy coffee maker pot,5
1043,q2,4654,4989,easy coffee maker pot,5
